algorithm,coverage,cost_per_coverage,radius,time
k=2,100,1.61,9,1870
greedy,100,1.63,9,3
random,100,4.52,9,0
bad_greedy,100,4.52,9,1
k=1,100,1.6,9,38
k=2,100,1.58,9,1831
greedy,100,1.83,9,3
random,100,4.66,9,0
bad_greedy,100,4.66,9,2
k=1,100,1.77,9,41
k=2,100,1.74,9,2007
greedy,100,1.6,9,3
random,100,4.58,9,0
bad_greedy,100,4.58,9,1
k=1,100,1.57,9,39
k=2,100,1.55,9,1841
greedy,100,1.43,9,3
random,100,4.67,9,0
bad_greedy,100,4.67,9,1
k=1,100,1.41,9,36
k=2,100,1.39,9,1673
greedy,100,1.36,9,3
random,100,4.67,9,0
bad_greedy,100,4.67,9,1
k=1,100,1.33,9,36
k=2,100,1.33,9,1748
greedy,100,1.5,9,3
random,100,4.37,9,0
bad_greedy,100,4.37,9,1
k=1,100,1.47,9,39
k=2,100,1.45,9,1875
greedy,99,1.63636,9,3
random,100,4.37,9,0
bad_greedy,100,4.37,9,1
k=1,100,1.61,9,40
k=2,100,1.57,9,1912
greedy,100,1.74,9,3
random,100,4.64,9,0
bad_greedy,100,4.64,9,1
k=1,100,1.71,9,40
k=2,100,1.69,9,1977
greedy,100,1.3,9,3
random,100,4.42,9,0
bad_greedy,100,4.42,9,1
k=1,100,1.29,9,37
k=2,100,1.28,9,1724
greedy,100,1.01,11,3
random,100,4.36,11,0
bad_greedy,100,4.36,11,1
k=1,100,0.98,11,31
k=2,100,0.97,11,1451
greedy,100,1.26,11,3
random,100,4.63,11,0
bad_greedy,100,4.63,11,1
k=1,100,1.23,11,33
k=2,100,1.21,11,1551
greedy,100,1.09,11,3
random,100,4.25,11,0
bad_greedy,100,4.25,11,1
k=1,100,1.08,11,33
k=2,100,1.06,11,1568
greedy,100,1.04,11,3
random,100,4.27,11,0
bad_greedy,100,4.27,11,1
k=1,100,1.02,11,31
k=2,100,1,11,1452
greedy,100,1.2,11,4
random,100,5.27,11,0
bad_greedy,100,5.27,11,1
k=1,100,1.16,11,29
k=2,100,1.15,11,1402
greedy,100,1.21,11,3
random,100,4.23,11,0
bad_greedy,100,4.23,11,1
k=1,100,1.17,11,33
k=2,100,1.14,11,1605
greedy,100,1.25,11,3
random,100,4.94,11,0
bad_greedy,100,4.94,11,1
k=1,100,1.22,11,33
k=2,100,1.2,11,1570
greedy,100,0.99,11,3
random,100,4.29,11,0
bad_greedy,100,4.29,11,1
