algorithm,budget,coverage,cost_per_coverage,distribution,radius,time
k=1,300,76,3.94737,2,11,43
k=2,300,76,3.94737,2,11,2123
greedy,300,100,1.32,3,11,3
random,300,97,3.09278,3,11,0
bad_greedy,300,97,3.07216,3,11,1
k=1,300,100,1.25,3,11,30
k=2,300,100,1.22,3,11,1473
greedy,300,28,10.1429,4,11,3
random,300,7,38.8571,4,11,0
bad_greedy,300,18,14.8889,4,11,1
k=1,300,28,10.1429,4,11,61
k=2,300,28,10.1429,4,11,3019
greedy,600,93,6.45161,2,11,4
random,600,69,8.69565,2,11,0
bad_greedy,600,46,13.0435,2,11,2
k=1,600,93,6.45161,2,11,45
k=2,600,94,6.38298,2,11,2589
greedy,600,100,1.17,3,11,3
random,600,100,4.56,3,11,0
bad_greedy,600,100,4.56,3,11,2
k=1,600,100,1.16,3,11,51
k=2,600,100,1.15,3,11,2746
greedy,600,42,13.5714,4,11,4
random,600,22,26.3182,4,11,0
bad_greedy,600,32,16.8438,4,11,2
k=1,600,42,13.5714,4,11,97
k=2,600,42,13.5714,4,11,4453
greedy,600,91,6.59341,2,11,4
random,600,71,8.4507,2,11,0
bad_greedy,600,42,14.2857,2,11,1
k=1,600,91,6.59341,2,11,57
k=2,600,91,6.59341,2,11,2944
greedy,600,100,1.11,3,11,4
random,600,100,4.85,3,11,0
bad_greedy,600,100,4.85,3,11,2
k=1,600,100,1.08,3,11,40
k=2,600,100,1.05,3,11,1972
greedy,600,38,15.0263,4,11,3
random,600,10,59.6,4,11,0
bad_greedy,600,23,24.1304,4,11,1
k=1,600,39,14.8462,4,11,81
k=2,600,39,14.8462,4,11,3612
greedy,600,91,6.59341,2,11,3
random,600,74,8.10811,2,11,0
bad_greedy,600,57,10.5263,2,11,1
k=1,600,92,6.52174,2,11,48
k=2,600,92,6.52174,2,11,2169
greedy,600,100,1.17,3,11,3
random,600,100,4.31,3,11,0
bad_greedy,600,100,4.31,3,11,2
k=1,600,100,1.16,3,11,50
k=2,600,100,1.14,3,11,1831
greedy,600,38,15.3684,4,11,3
random,600,19,31.5263,4,11,0
bad_greedy,600,26,21,4,11,1
k=1,600,38,15.3684,4,11,72
k=2,600,38,15.3684,4,11,3206
greedy,600,94,6.38298,2,11,3
random,600,64,9.375,2,11,0
bad_greedy,600,52,11.5385,2,11,1
k=1,600,95,6.31579,2,11,33
k=2,600,95,6.31579,2,11,1660
greedy,600,100,0.98,3,11,3
random,600,100,4.47,3,11,0
bad_greedy,600,100,4.47,3,11,1
k=1,600,100,0.94,3,11,29
k=2,600,100,0.91,3,11,1382
greedy,600,39,14.9487,4,11,4
random,600,12,49.6667,4,11,0
bad_greedy,600,19,30.1579,4,11,1
k=1,600,39,14.9487,4,11,59
k=2,600,39,14.9487,4,11,2920
greedy,600,94,6.38298,2,11,3
random,600,69,8.69565,2,11,0
bad_greedy,600,41,14.6341,2,11,1
k=1,600,94,6.38298,2,11,33
k=2,600,95,6.31579,2,11,1689
greedy,600,100,1.07,3,11,3
random,600,100,4.56,3,11,0
bad_greedy,600,100,4.56,3,11,1
k=1,600,100,1.03,3,11,30
k=2,600,100,1,3,11,1473
greedy,600,44,13.2045,4,11,3
random,600,11,53.9091,4,11,0
bad_greedy,600,30,19.9333,4,11,1
k=1,600,44,13.2045,4,11,58
k=2,600,44,13.2045,4,11,2964
greedy,600,91,6.59341,2,11,3
random,600,70,8.57143,2,11,0
bad_greedy,600,56,10.7143,2,11,1
k=1,600,92,6.52174,2,11,36
k=2,600,92,6.52174,2,11,1835
greedy,600,100,1.15,3,11,3
random,600,100,4.87,3,11,0
bad_greedy,600,100,4.87,3,11,2
k=1,600,100,1.12,3,11,29
k=2,600,100,1.12,3,11,1581
greedy,600,39,15.2051,4,11,3
random,600,17,33.4118,4,11,0
bad_greedy,600,15,37.7333,4,11,1
k=1,600,41,14.6341,4,11,63
k=2,600,41,14.6341,4,11,3056
greedy,600,91,6.59341,2,11,3
random,600,68,8.82353,2,11,0
bad_greedy,600,46,13.0435,2,11,1
k=1,600,92,6.52174,2,11,37
k=2,600,92,6.52174,2,11,1779
greedy,600,100,1.32,3,11,3
random,600,100,4.68,3,11,0
bad_greedy,600,100,4.68,3,11,1
k=1,600,100,1.3,3,11,33
k=2,600,100,1.28,3,11,1594
greedy,600,37,16,4,11,3
random,600,18,33.1111,4,11,0
bad_greedy,600,20,29.95,4,11,1
k=1,600,38,15.7368,4,11,57
k=2,600,38,15.7368,4,11,2977
greedy,600,86,6.97674,2,11,3
random,600,71,8.4507,2,11,0
bad_greedy,600,54,11.1111,2,11,1
k=1,600,88,6.81818,2,11,40
k=2,600,88,6.81818,2,11,2023
greedy,600,100,1.12,3,11,3
random,600,100,4.51,3,11,0
bad_greedy,600,100,4.51,3,11,2
k=1,600,100,1.08,3,11,33
k=2,600,100,1.06,3,11,1676
greedy,600,41,14,4,11,3
random,600,10,55.9,4,11,0
bad_greedy,600,26,22.8462,4,11,1
k=1,600,42,13.7143,4,11,61
k=2,600,42,13.7143,4,11,3083
greedy,600,92,6.52174,2,11,3
random,600,69,8.69565,2,11,0
bad_greedy,600,50,12,2,11,1
k=1,600,93,6.45161,2,11,34
k=2,600,94,6.38298,2,11,1636
greedy,600,100,1.15,3,11,3
random,600,100,4.85,3,11,0
bad_greedy,600,100,4.85,3,11,1
k=1,600,100,1.13,3,11,32
k=2,600,100,1.12,3,11,1774
greedy,600,39,14.641,4,11,4
random,600,13,45.3846,4,11,0
bad_greedy,600,30,19.9,4,11,2
k=1,600,40,14.45,4,11,94
k=2,600,40,14.45,4,11,4192
greedy,600,92,6.52174,2,11,4
random,600,71,8.4507,2,11,0
bad_greedy,600,46,13.0435,2,11,2
k=1,600,92,6.52174,2,11,55
k=2,600,92,6.52174,2,11,2597
greedy,600,100,1.23,3,11,4
random,600,100,4.61,3,11,0
bad_greedy,600,100,4.61,3,11,1
k=1,600,100,1.2,3,11,36
k=2,600,100,1.19,3,11,1847
greedy,600,39,14.3333,4,11,4
random,600,14,40,4,11,0
bad_greedy,600,22,24.6818,4,11,1
k=1,600,40,14.875,4,11,75
k=2,600,41,14.5366,4,11,3565
greedy,1700,100,7.8,2,11,3
random,1700,93,18.2796,2,11,0
bad_greedy,1700,95,17.8947,2,11,1
k=1,1700,100,7.8,2,11,41
k=2,1700,100,7.8,2,11,1768
greedy,1700,100,1.26,3,11,3
random,1700,100,4.57,3,11,0
bad_greedy,1700,100,4.57,3,11,1
k=1,1700,100,1.21,3,11,33
k=2,1700,100,1.18,3,11,1576
greedy,1700,68,24.1471,4,11,3
random,1700,37,45.4595,4,11,0
bad_greedy,1700,46,36.2609,4,11,1
k=1,1700,70,24.2571,4,11,47
k=2,1700,70,24.2571,4,11,2259
greedy,1700,100,8,2,11,3
random,1700,98,17.3469,2,11,0
bad_greedy,1700,94,18.0851,2,11,1
k=1,1700,100,7.4,2,11,33
k=2,1700,100,7.4,2,11,1637
greedy,1700,100,1.19,3,11,3
random,1700,100,4.41,3,11,0
bad_greedy,1700,100,4.41,3,11,1
k=1,1700,100,1.18,3,11,32
k=2,1700,100,1.17,3,11,1577
greedy,1700,65,26.0308,4,11,3
random,1700,34,48.4706,4,11,0
bad_greedy,1700,36,45.3056,4,11,1
k=1,1700,65,25.8154,4,11,50
k=2,1700,65,25.8154,4,11,2479
greedy,1700,100,8.2,2,11,3
random,1700,99,17.1717,2,11,0
bad_greedy,1700,90,18.8889,2,11,1
k=1,1700,100,8,2,11,37
k=2,1700,100,8,2,11,1707
greedy,1700,100,0.99,3,11,4
random,1700,100,4.79,3,11,0
bad_greedy,1700,100,4.79,3,11,1
k=1,1700,100,0.95,3,11,29
k=2,1700,100,0.93,3,11,1416
greedy,1700,57,29.1579,4,11,4
random,1700,23,72.1304,4,11,0
bad_greedy,1700,38,43.5263,4,11,1
k=1,1700,57,29.0526,4,11,60
k=2,1700,57,29.0526,4,11,2618
greedy,1700,100,6.6,2,11,3
random,1700,98,17.3469,2,11,0
bad_greedy,1700,97,17.5258,2,11,1
k=1,1700,100,6.6,2,11,28
k=2,1700,100,6.6,2,11,1427
greedy,1700,100,1,3,11,3
random,1700,100,4.68,3,11,0
bad_greedy,1700,100,4.68,3,11,1
k=1,1700,100,0.97,3,11,30
k=2,1700,100,0.96,3,11,1436
greedy,1700,69,24.6377,4,11,3
random,1700,33,51.4848,4,11,0
bad_greedy,1700,39,42.7949,4,11,1
k=1,1700,69,24.6377,4,11,47
k=2,1700,69,24.6377,4,11,2341
greedy,1700,100,7.6,2,11,3
random,1700,93,18.2796,2,11,0
bad_greedy,1700,96,17.7083,2,11,1
k=1,1700,100,7.6,2,11,34
k=2,1700,100,7.6,2,11,1605
greedy,1700,100,1.01,3,11,3
random,1700,100,4.47,3,11,0
bad_greedy,1700,100,4.47,3,11,1
k=1,1700,100,0.98,3,11,31
k=2,1700,100,0.96,3,11,1487
greedy,1700,65,25.6154,4,11,4
random,1700,34,49.7647,4,11,0
bad_greedy,1700,35,47.5143,4,11,1
k=1,1700,65,25.4462,4,11,54
k=2,1700,65,25.4462,4,11,2494
greedy,1700,100,8,2,11,3
random,1700,99,17.1717,2,11,0
bad_greedy,1700,96,17.7083,2,11,1
k=1,1700,100,7.8,2,11,33
k=2,1700,100,7.8,2,11,1671
greedy,1700,100,0.76,3,11,3
random,1700,100,4.18,3,11,0
bad_greedy,1700,100,4.18,3,11,1
k=1,1700,100,0.74,3,11,29
k=2,1700,100,0.73,3,11,1377
greedy,1700,59,28.8136,4,11,3
random,1700,29,57.4138,4,11,0
bad_greedy,1700,38,42.9737,4,11,1
k=1,1700,59,28.1356,4,11,51
k=2,1700,59,28.1356,4,11,2978
greedy,1700,100,7.8,2,11,3
random,1700,97,17.5258,2,11,0
bad_greedy,1700,96,17.7083,2,11,1
k=1,1700,100,7.8,2,11,39
k=2,1700,100,7.8,2,11,1629
greedy,1700,100,1.26,3,11,3
random,1700,100,4.38,3,11,0
bad_greedy,1700,100,4.38,3,11,1
k=1,1700,100,1.24,3,11,41
k=2,1700,100,1.22,3,11,1609
greedy,1700,74,22.1351,4,11,3
random,1700,38,44.5526,4,11,0
bad_greedy,1700,51,32.1373,4,11,1
k=1,1700,74,22.1351,4,11,43
k=2,1700,74,22.1351,4,11,2087
greedy,1700,100,7.6,2,11,3
random,1700,96,17.7083,2,11,0
bad_greedy,1700,97,17.5258,2,11,1
k=1,1700,100,7.4,2,11,33
k=2,1700,100,7.4,2,11,1580
greedy,1700,100,1.04,3,11,3
random,1700,100,4.44,3,11,0
bad_greedy,1700,100,4.44,3,11,1
k=1,1700,100,0.99,3,11,29
k=2,1700,100,0.99,3,11,1404
greedy,1700,57,29.2456,4,11,3
random,1700,39,42.8974,4,11,0
bad_greedy,1700,40,41.15,4,11,1
