algorithm,budget,coverage,cost_per_coverage,time
greedy,2600,77,32.6104,3
random,2600,50,51.9,0
bad_greedy,2600,59,42.4068,1
k=1,2600,77,32.5195,47
k=2,2600,77,32.5195,2272
greedy,2600,80,31.35,3
random,2600,45,57.7333,0
bad_greedy,2600,61,41.623,1
k=1,2600,81,31.9877,42
k=2,2600,81,31.9877,2715
greedy,2600,82,31.0976,3
random,2600,55,46.6727,0
bad_greedy,2600,66,39.1061,1
k=1,2600,82,30.7195,44
k=2,2600,82,30.7195,2155
greedy,2600,83,30.2048,4
random,2600,50,51.86,0
bad_greedy,2600,59,42.8983,1
k=1,2600,84,30.5714,46
k=2,2600,84,30.25,1965
greedy,2600,80,32.275,3
random,2600,52,49.4808,0
bad_greedy,2600,59,42.2542,1
k=1,2600,80,32.275,44
k=2,2600,80,32.275,2168
greedy,2600,81,30.9753,3
random,2600,49,53.0204,0
bad_greedy,2600,57,45.5789,1
k=1,2600,81,30.9753,45
k=2,2600,81,30.9753,2108
greedy,2600,77,32.8831,3
random,2600,53,48.7547,0
bad_greedy,2600,57,45.5614,1
k=1,2600,77,32.8831,43
k=2,2600,77,32.8831,2114
greedy,2600,81,31.4691,3
random,2600,59,43.2542,0
bad_greedy,2600,55,45.8727,1
k=1,2600,82,31.5732,41
k=2,2600,82,30.939,1996
greedy,2600,81,31.2222,3
random,2600,39,66.2564,0
bad_greedy,2600,57,45.386,1
k=1,2600,82,31.3659,44
k=2,2600,82,31.3659,2124
greedy,2600,79,31.6456,3
random,2600,43,59.4186,0
bad_greedy,2600,59,42.5085,1
k=1,2600,80,31.775,45
k=2,2600,80,31.775,2150
greedy,2600,82,31.6707,3
random,2600,53,48.9057,0
bad_greedy,2600,59,43.4068,1
k=1,2600,82,31,42
k=2,2600,82,31,2043
greedy,2600,77,32.9351,3
random,2600,51,50.6471,0
bad_greedy,2600,50,50.42,1
k=1,2600,77,32.9351,47
k=2,2600,77,32.9351,2270
greedy,1200,56,20.8393,4
random,1200,32,36.9688,0
bad_greedy,1200,34,34.9412,2
k=1,1200,58,20.5,73
k=2,1200,58,20.5,3474
greedy,1200,49,23.6122,3
random,1200,24,48.625,0
bad_greedy,1200,34,33.0588,1
k=1,1200,50,23.06,66
k=2,1200,51,23.3725,3009
greedy,1200,48,24.4375,4
random,1200,35,33.3714,0
